Family,Common Name,Scientific Name,Long Term Status,Current Status,Range Status,Concern Status,IUCN,WLPA Schedule
Threskiornithidae (Ibises and Spoonbills),Glossy Ibis,Plegadis falcinellus,Strong Increase,Uncertain,Large,Low,Least Concern,Schedule-IV
Alcedinidae (Kingfishers),Common Kingfisher (Small Blue Kingfisher),Alcedo atthis,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-IV
Meropidae (Bee-eaters),Green Bee-eater,Merops orientalis,Stable,Moderate Decline,Very Large,Low,Least Concern,Schedule-IV
"Anatidae (Ducks, Geese, and Waterfowl)",Northern Shoveler,Spatula clypeata,Stable,Uncertain,Large,Low,Least Concern,Schedule-IV
Cuculidae (Cuckoos),Asian Koel,Eudynamys scolopaceus,Moderate Increase,Strong Increase,Very Large,Low,Least Concern,Schedule-IV
Acrocephalidae (Reed Warblers and Allies),Blyth's Reed Warbler,Acrocephalus dumetorum,Uncertain,Uncertain,Very Large,Low,Least Concern,Schedule-IV
"Artamidae (Woodswallows, Bellmagpies, and Allies)",Ashy Woodswallow,Artamus fuscus,Stable,Strong Decline,Large,Moderate,Least Concern,Schedule-IV
Leiothrichidae (Laughingthrushes and Allies),Yellow-billed Babbler,Turdoides affinis,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Muscicapidae (Old World Flycatchers),Oriental Magpie-Robin,Copsychus saularis,Stable,Stable,Very Large,Low,Least Concern,Schedule-IV
Picidae (Woodpeckers),Black-rumped Flameback (Lesser Goldenbacked Woodpecker),Dinopium benghalense,Stable,Moderate Increase,Very Large,Low,Least Concern,Schedule-IV
Threskiornithidae (Ibises and Spoonbills),Eurasian Spoonbill,Platalea leucorodia,Uncertain,Uncertain,Moderate,Low,Least Concern,Schedule-I
"Anatidae (Ducks, Geese, and Waterfowl)",Garganey,Spatula querquedula,Stable,Uncertain,Large,Low,Least Concern,Schedule-IV
"Ardeidae (Herons, Egrets, and Bitterns)",Little Egret,Egretta garzetta,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-IV
"Corvidae (Crows, Jays, and Magpies)",Rufous Treepie,Dendrocitta vagabunda,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
"Ardeidae (Herons, Egrets, and Bitterns)",Cattle Egret,Bubulcus ibis,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-IV
"Vangidae (Vangas, Helmetshrikes, and Allies)",Common Woodshrike,Tephrodornis pondicerianus,Strong Decline,Strong Decline,Very Large,High,Least Concern,Schedule-IV
Podicipedidae (Grebes),Little Grebe,Tachybaptus ruficollis,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-IV
"Accipitridae (Hawks, Eagles, and Kites)",Booted Eagle,Hieraaetus pennatus,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-I
Cisticolidae (Cisticolas and Allies),Common Tailorbird,Orthotomus sutorius,Stable,Moderate Increase,Very Large,Low,Least Concern,Schedule-IV
"Ardeidae (Herons, Egrets, and Bitterns)",Purple Heron,Ardea purpurea,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-IV
"Accipitridae (Hawks, Eagles, and Kites)",harrier sp.,Circus sp.,NA,NA,NA,NA,NA,NA
Charadriidae (Plovers and Lapwings),Yellow-wattled Lapwing,Vanellus malabaricus,Moderate Decline,Strong Decline,Very Large,Moderate,Least Concern,Schedule-IV
Scolopacidae (Sandpipers and Allies),snipe sp.,Gallinago sp.,NA,NA,NA,NA,NA,NA
"Rallidae (Rails, Gallinules, and Coots)",White-breasted Waterhen,Amaurornis phoenicurus,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
"Rallidae (Rails, Gallinules, and Coots)",Grey-headed Swamphen (Purple Swamphen),Porphyrio poliocephalus,Uncertain,Strong Decline,Very Large,Moderate,Least Concern,Schedule-IV
Charadriidae (Plovers and Lapwings),Red-wattled Lapwing,Vanellus indicus,Stable,Moderate Decline,Very Large,Low,Least Concern,Schedule-IV
Columbidae (Pigeons and Doves),Rock Pigeon (Blue Rock Pigeon),Columba livia,Strong Increase,Strong Increase,Very Large,Low,Least Concern,Schedule-IV
"Ardeidae (Herons, Egrets, and Bitterns)",white egret sp.,Ardea/Egretta/Bubulcus sp.,NA,NA,NA,NA,NA,NA
Phalacrocoracidae (Cormorants and Shags),cormorant sp.,Phalacrocoracidae sp.,NA,NA,NA,NA,NA,NA
Ciconiidae (Storks),Painted Stork,Mycteria leucocephala,Uncertain,Uncertain,Very Large,Moderate,Near Threatened,Schedule-IV
Strigidae (Owls),Spotted Owlet,Athene brama,NA,NA,NA,NA,NA,NA
"Corvidae (Crows, Jays, and Magpies)",House Crow,Corvus splendens,Moderate Increase,Stable,Very Large,Low,Least Concern,Schedule-V
"Corvidae (Crows, Jays, and Magpies)",Large-billed Crow,Corvus macrorhynchos,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Megalaimidae (Asian Barbets),Coppersmith Barbet,Psilopogon haemacephalus,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Nectariniidae (Sunbirds and Spiderhunters),Purple Sunbird,Cinnyris asiaticus,Stable,Stable,Very Large,Low,Least Concern,Schedule-IV
"Anatidae (Ducks, Geese, and Waterfowl)",Lesser Whistling-Duck,Dendrocygna javanica,Stable,Moderate Decline,Very Large,Low,Least Concern,Schedule-IV
"Ardeidae (Herons, Egrets, and Bitterns)",Great Egret,Ardea alba,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-IV
Muscicapidae (Old World Flycatchers),Indian Robin,Copsychus fulicatus,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Alaudidae (Larks),Jerdon's Bushlark,Mirafra affinis,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Pycnonotidae (Bulbuls),Red-whiskered Bulbul,Pycnonotus jocosus,Uncertain,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Cisticolidae (Cisticolas and Allies),Ashy Prinia,Prinia socialis,Strong Increase,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Laniidae (Shrikes),Brown Shrike,Lanius cristatus,Stable,Moderate Decline,Large,Low,Least Concern,Schedule-IV
Motacillidae (Wagtails and Pipits),Paddyfield Pipit,Anthus rufulus,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Dicruridae (Drongos),White-bellied Drongo,Dicrurus caerulescens,Stable,Strong Decline,Large,Moderate,Least Concern,Schedule-IV
Cisticolidae (Cisticolas and Allies),Plain Prinia,Prinia inornata,Strong Increase,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Motacillidae (Wagtails and Pipits),Western Yellow Wagtail,Motacilla flava,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Cuculidae (Cuckoos),Common Hawk-Cuckoo,Hierococcyx varius,Moderate Decline,Uncertain,Very Large,Moderate,Least Concern,Schedule-IV
Nectariniidae (Sunbirds and Spiderhunters),Loten's Sunbird (Long-billed Sunbird),Cinnyris lotenius,Stable,Uncertain,Large,Low,Least Concern,Schedule-IV
Phylloscopidae (Leaf Warblers),Green Warbler,Phylloscopus nitidus,NA,NA,NA,NA,NA,NA
Phalacrocoracidae (Cormorants and Shags),Great Cormorant,Phalacrocorax carbo,Stable,Uncertain,Moderate,Low,Least Concern,Schedule-IV
Cuculidae (Cuckoos),Blue-faced Malkoha,Phaenicophaeus viridirostris,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Pycnonotidae (Bulbuls),White-browed Bulbul,Pycnonotus luteolus,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Passeridae (Old World Sparrows),House Sparrow,Passer domesticus,Stable,Stable,Very Large,Low,Least Concern,Schedule-IV
Nectariniidae (Sunbirds and Spiderhunters),sunbird sp.,Nectariniidae sp. (sunbird sp.),NA,NA,NA,NA,NA,NA
Apodidae (Swifts),Little Swift (Indian House Swift),Apus affinis,Moderate Decline,Strong Increase,Very Large,Low,Least Concern,Schedule-IV
Hirundinidae (Swallows),Red-rumped Swallow,Cecropis daurica,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
"Anatidae (Ducks, Geese, and Waterfowl)",Fulvous Whistling-Duck,Dendrocygna bicolor,Data Deficient,Uncertain,Moderate,Low,Least Concern,Schedule-I
Ciconiidae (Storks),White Stork,Ciconia ciconia,NA,NA,NA,NA,NA,NA
Aegithinidae (Ioras),Common Iora,Aegithina tiphia,Moderate Decline,Moderate Decline,Very Large,Moderate,Least Concern,Schedule-IV
Motacillidae (Wagtails and Pipits),pipit sp.,Anthus sp.,NA,NA,NA,NA,NA,NA
Laniidae (Shrikes),Long-tailed Shrike,Lanius schach,Stable,Strong Decline,Large,Moderate,Least Concern,Schedule-IV
Scolopacidae (Sandpipers and Allies),Common Sandpiper,Actitis hypoleucos,Moderate Decline,Strong Decline,Large,Moderate,Least Concern,Schedule-IV
Scolopacidae (Sandpipers and Allies),Marsh Sandpiper,Tringa stagnatilis,Moderate Decline,Uncertain,Large,Moderate,Least Concern,Schedule-IV
Charadriidae (Plovers and Lapwings),Little Ringed Plover,Charadrius dubius,Moderate Decline,Moderate Decline,Large,Moderate,Least Concern,Schedule-IV
Scolopacidae (Sandpipers and Allies),Common Greenshank,Tringa nebularia,Strong Decline,Moderate Decline,Large,High,Least Concern,Schedule-IV
Scolopacidae (Sandpipers and Allies),Green Sandpiper,Tringa ochropus,Moderate Decline,Uncertain,Very Large,Moderate,Least Concern,Schedule-IV
Columbidae (Pigeons and Doves),Laughing Dove (Little Brown Dove),Streptopelia senegalensis,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
"Ardeidae (Herons, Egrets, and Bitterns)",Yellow Bittern,Ixobrychus sinensis,Uncertain,Uncertain,Moderate,Low,Least Concern,Schedule-IV
Sturnidae (Starlings),Chestnut-tailed Starling,Sturnia malabarica,Uncertain,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Columbidae (Pigeons and Doves),Eurasian Collared-Dove,Streptopelia decaocto,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Phylloscopidae (Leaf Warblers),Phylloscopus warbler sp.,Phylloscopus sp.,NA,NA,NA,NA,NA,NA
Upupidae (Hoopoes),Eurasian Hoopoe,Upupa epops,Moderate Decline,Uncertain,Large,Moderate,Least Concern,Schedule-IV
Hirundinidae (Swallows),martin/swallow sp.,Hirundinidae sp.,NA,NA,NA,NA,NA,NA
Scolopacidae (Sandpipers and Allies),Little Stint,Calidris minuta,Strong Decline,Uncertain,Large,Moderate,Least Concern,Schedule-IV
Hirundinidae (Swallows),Dusky Crag-Martin,Ptyonoprogne concolor,Stable,Strong Increase,Very Large,Low,Least Concern,Schedule-IV
"Anatidae (Ducks, Geese, and Waterfowl)",Bar-headed Goose,Anser indicus,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Threskiornithidae (Ibises and Spoonbills),Red-naped Ibis (Indian Black Ibis),Pseudibis papillosa,Strong Increase,Uncertain,Very Large,Low,Least Concern,Schedule-IV
"Laridae (Gulls, Terns, and Skimmers)",River Tern,Sterna aurantia,Moderate Decline,Moderate Decline,Very Large,Moderate,Near Threatened,Schedule-IV
Leiothrichidae (Laughingthrushes and Allies),Large Grey Babbler,Turdoides malcolmi,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
"Rallidae (Rails, Gallinules, and Coots)",Watercock,Gallicrex cinerea,Data Deficient,Strong Decline,Moderate,Moderate,Least Concern,Schedule-IV
Passeridae (Old World Sparrows),Yellow-throated Sparrow (Chestnut-shouldered Petronia),Gymnoris xanthocollis,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Strigidae (Owls),Jungle Owlet,Glaucidium radiatum,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
"Rallidae (Rails, Gallinules, and Coots)",moorhen/coot/gallinule sp.,Gallinula/Fulica/Porphyrio sp.,NA,NA,NA,NA,NA,NA
Cisticolidae (Cisticolas and Allies),Zitting Cisticola,Cisticola juncidis,Stable,Moderate Decline,Very Large,Low,Least Concern,Schedule-IV
Campephagidae (Cuckooshrikes),Small Minivet,Pericrocotus cinnamomeus,Strong Decline,Strong Decline,Very Large,High,Least Concern,Schedule-IV
Cuculidae (Cuckoos),Grey-bellied Cuckoo,Cacomantis passerinus,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
"Anatidae (Ducks, Geese, and Waterfowl)",Common Pochard,Aythya ferina,Moderate Decline,Uncertain,Large,Moderate,Vulnerable,Schedule-IV
"Anatidae (Ducks, Geese, and Waterfowl)",Green-winged Teal (Common Teal),Anas crecca,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Falconidae (Falcons and Caracaras),Red-necked Falcon,Falco chicquera,Strong Decline,Strong Decline,Large,High,Near Threatened,Schedule-I
Leiothrichidae (Laughingthrushes and Allies),Jungle/Yellow-billed Babbler,Turdoides striata/affinis,NA,NA,NA,NA,NA,NA
,bird sp.,Aves sp.,NA,NA,NA,NA,NA,NA
Apodidae (Swifts),swift sp.,Apodidae sp.,NA,NA,NA,NA,NA,NA
"Ardeidae (Herons, Egrets, and Bitterns)",Striated Heron (Little Heron),Butorides striata,Stable,Uncertain,Large,Low,Least Concern,Schedule-IV
Estrildidae (Waxbills and Allies),Indian Silverbill (White-throated Munia),Euodice malabarica,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Alaudidae (Larks),Ashy-crowned Sparrow-Lark (Ashy-crowned Finch-Lark),Eremopterix griseus,Moderate Decline,Uncertain,Very Large,Moderate,Least Concern,Schedule-IV
"Laridae (Gulls, Terns, and Skimmers)",Gull-billed Tern,Gelochelidon nilotica,Strong Decline,Uncertain,Restricted,High,Least Concern,Schedule-IV
"Anatidae (Ducks, Geese, and Waterfowl)",duck sp.,Anatinae sp.,NA,NA,NA,NA,NA,NA
"Anatidae (Ducks, Geese, and Waterfowl)",Cotton Pygmy-Goose (Cotton Teal),Nettapus coromandelianus,Strong Decline,Strong Decline,Very Large,High,Least Concern,Schedule-IV
"Laridae (Gulls, Terns, and Skimmers)",tern sp.,Sterninae sp.,NA,NA,NA,NA,NA,NA
,passerine sp.,Passeriformes sp.,NA,NA,NA,NA,NA,NA
,diurnal raptor sp.,Accipitriformes/Falconiformes sp.,NA,NA,NA,NA,NA,NA
Pittidae (Pittas),Indian Pitta,Pitta brachyura,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Dicaeidae (Flowerpeckers),Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Stable,Strong Increase,Large,Low,Least Concern,Schedule-IV
Cuculidae (Cuckoos),Pied Cuckoo (Jacobin Cuckoo),Clamator jacobinus,Stable,Uncertain,Large,Low,Least Concern,Schedule-IV
Cisticolidae (Cisticolas and Allies),prinia sp.,Prinia sp.,NA,NA,NA,NA,NA,NA
Motacillidae (Wagtails and Pipits),White Wagtail,Motacilla alba,Moderate Decline,Uncertain,Very Large,Moderate,Least Concern,Schedule-IV
Oriolidae (Old World Orioles),Black-naped Oriole,Oriolus chinensis,Uncertain,Uncertain,Moderate,Low,Least Concern,Schedule-IV
Meropidae (Bee-eaters),bee-eater sp.,Merops sp.,NA,NA,NA,NA,NA,NA
Motacillidae (Wagtails and Pipits),Richard's Pipit,Anthus richardi,Strong Decline,Uncertain,Moderate,Moderate,Least Concern,Schedule-IV
Columbidae (Pigeons and Doves),Red Collared-Dove (Red Turtle-Dove),Streptopelia tranquebarica,Moderate Decline,Uncertain,Very Large,Moderate,Least Concern,Schedule-IV
Alaudidae (Larks),Rufous-tailed Lark,Ammomanes phoenicura,Strong Decline,Uncertain,Large,Moderate,Least Concern,Schedule-IV
Glareolidae (Pratincoles and Coursers),Indian Courser,Cursorius coromandelicus,Moderate Decline,Strong Decline,Large,Moderate,Least Concern,Schedule-IV
Campephagidae (Cuckooshrikes),Large Cuckooshrike,Coracina macei,Strong Decline,Moderate Decline,Large,High,Least Concern,Schedule-IV
Alaudidae (Larks),Oriental Skylark,Alauda gulgula,Strong Decline,Uncertain,Large,Moderate,Least Concern,Schedule-IV
"Laridae (Gulls, Terns, and Skimmers)",Brown-headed Gull,Chroicocephalus brunnicephalus,Strong Decline,Uncertain,Large,Moderate,Least Concern,Schedule-IV
Motacillidae (Wagtails and Pipits),Blyth's Pipit,Anthus godlewskii,Data Deficient,Uncertain,Moderate,Low,Least Concern,Schedule-IV
Jacanidae (Jacanas),Pheasant-tailed Jacana,Hydrophasianus chirurgus,Moderate Decline,Uncertain,Very Large,Moderate,Least Concern,Schedule-IV
Scolopacidae (Sandpipers and Allies),Temminck's Stint,Calidris temminckii,Moderate Decline,Uncertain,Large,Moderate,Least Concern,Schedule-IV
Jacanidae (Jacanas),Bronze-winged Jacana,Metopidius indicus,Stable,Moderate Decline,Very Large,Low,Least Concern,Schedule-IV
Scolopacidae (Sandpipers and Allies),Common Redshank,Tringa totanus,Moderate Decline,Uncertain,Large,Moderate,Least Concern,Schedule-IV
Campephagidae (Cuckooshrikes),Black-headed Cuckooshrike,Lalage melanoptera,Moderate Decline,Uncertain,Moderate,Moderate,Least Concern,Schedule-IV
Estrildidae (Waxbills and Allies),Red Avadavat,Amandava amandava,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
"Accipitridae (Hawks, Eagles, and Kites)",Oriental Honey-buzzard (Crested Honey Buzzard),Pernis ptilorhynchus,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-I
"Accipitridae (Hawks, Eagles, and Kites)",Buteo/eagle sp.,Buteo/eagle sp.,NA,NA,NA,NA,NA,NA
Estrildidae (Waxbills and Allies),White-rumped Munia,Lonchura striata,Stable,Strong Decline,Large,Moderate,Least Concern,Schedule-IV
Monarchidae (Monarch Flycatchers),Indian Paradise-Flycatcher,Terpsiphone paradisi,Stable,Uncertain,Large,Low,Least Concern,Schedule-IV
Threskiornithidae (Ibises and Spoonbills),ibis sp.,Threskiornithidae sp. (ibis sp.),NA,NA,NA,NA,NA,NA
Dicruridae (Drongos),drongo sp.,Dicrurus sp.,NA,NA,NA,NA,NA,NA
Scolopacidae (Sandpipers and Allies),Black-tailed Godwit,Limosa limosa,Stable,Uncertain,Large,Low,Near Threatened,Schedule-IV
"Accipitridae (Hawks, Eagles, and Kites)",Egyptian Vulture,Neophron percnopterus,Moderate Decline,Strong Decline,Large,High,Endangered,Schedule-IV
Motacillidae (Wagtails and Pipits),wagtail sp.,Motacilla sp.,NA,NA,NA,NA,NA,NA
Scolopacidae (Sandpipers and Allies),Tringa sandpiper sp.,Tringa sp.,NA,NA,NA,NA,NA,NA
Estrildidae (Waxbills and Allies),Tricolored Munia (Black-headed Munia),Lonchura malacca,Uncertain,Strong Decline,Large,Moderate,Least Concern,Schedule-IV
"Paridae (Tits, Chickadees, and Titmice)",Cinereous Tit (Great Tit),Parus cinereus,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Ploceidae (Weavers and Allies),Streaked Weaver,Ploceus manyar,Uncertain,Strong Decline,Large,Moderate,Least Concern,Schedule-IV
Apodidae (Swifts),small swift sp.,Apodidae sp. (small swift sp.),NA,NA,NA,NA,NA,NA
Falconidae (Falcons and Caracaras),falcon sp.,Falco sp.,NA,NA,NA,NA,NA,NA
Dicruridae (Drongos),Black/Ashy Drongo,Dicrurus macrocercus/leucophaeus,NA,NA,NA,NA,NA,NA
Alaudidae (Larks),lark sp.,Alaudidae sp.,NA,NA,NA,NA,NA,NA
Apodidae (Swifts),Apus swift sp.,Apus sp.,NA,NA,NA,NA,NA,NA
"Laridae (Gulls, Terns, and Skimmers)",Sterna tern sp.,Sterna sp.,NA,NA,NA,NA,NA,NA
Tytonidae (Barn-Owls),Barn Owl,Tyto alba,NA,NA,NA,NA,NA,NA
"Phasianidae (Pheasants, Grouse, and Allies)",francolin sp.,Pternistis/Francolinus/Peliperdix/Scleroptila sp.,NA,NA,NA,NA,NA,NA
"Phasianidae (Pheasants, Grouse, and Allies)",Indian Peafowl,Pavo cristatus,Strong Increase,Moderate Increase,Very Large,Low,Least Concern,Schedule-I
Picidae (Woodpeckers),woodpecker sp.,Picidae sp.,NA,NA,NA,NA,NA,NA
Sturnidae (Starlings),Rosy Starling,Pastor roseus,Strong Increase,Strong Increase,Very Large,Low,Least Concern,Schedule-IV
Muscicapidae (Old World Flycatchers),Asian Brown Flycatcher,Muscicapa dauurica,Moderate Decline,Uncertain,Moderate,Moderate,Least Concern,Schedule-IV
"Accipitridae (Hawks, Eagles, and Kites)",Accipiter hawk/goshawk/sparrowhawk sp.,Accipiter sp.,NA,NA,NA,NA,NA,NA
Phoenicopteridae (Flamingos),Greater Flamingo,Phoenicopterus roseus,Uncertain,Uncertain,Moderate,Low,Least Concern,Schedule-IV
